model,construct,dialect,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,BEI,0.16666666666666666,0.003359780223787495,0.3299735531095458,0.32839478871459266,18.0
qwen2.5,Ability,CHD,-0.12962962962962965,-0.34341853580801845,0.08415927654875915,0.4299093822876394,18.0
qwen2.5,Ability,JNN,-0.2592592592592593,-0.5466813788639047,0.028162860345386065,0.5779788488740952,18.0
qwen2.5,Ability,TYN,-0.5555555555555557,-1.0413347994271431,-0.0697763116839682,0.9768563691828354,18.0
qwen2.5,Ability,WHN,-0.2962962962962963,-0.6018889738910136,0.00929638129842103,0.6145181319499691,18.0
qwen2.5,Ability,XIA,-0.40740740740740733,-0.7694858778591799,-0.04532893695563478,0.7281057485821502,18.0
qwen2.5,Trust,BEI,0.3333333333333333,0.037900059872129355,0.6287666067945372,0.5940885257860046,18.0
qwen2.5,Trust,CHD,0.1111111111111111,-0.12331284198147954,0.3455350642037017,0.4714045207910317,18.0
qwen2.5,Trust,JNN,-0.05555555555555555,-0.3237455258338845,0.21263441472277342,0.5393048054696105,18.0
qwen2.5,Trust,TYN,-0.2777777777777778,-0.6516907912651747,0.09613523570961913,0.7519039015221181,18.0
qwen2.5,Trust,WHN,0.05555555555555555,-0.15140399073765148,0.2625151018487626,0.41617618189786515,18.0
qwen2.5,Trust,XIA,0.2777777777777778,-0.00792089030316473,0.5634764458587203,0.5745131499601416,18.0
qwen2.5,Warmth,BEI,0.20370370370370372,-0.10320840151800309,0.5106158089254105,0.6171713768083293,18.0
qwen2.5,Warmth,CHD,0.018518518518518514,-0.14697317254309608,0.18401020958013312,0.3327882253098292,18.0
qwen2.5,Warmth,JNN,0.11111111111111109,-0.11631352883608682,0.338535751058309,0.4573295603800236,18.0
qwen2.5,Warmth,TYN,-0.1851851851851852,-0.4141837168527006,0.04381334648233018,0.4604945085963016,18.0
qwen2.5,Warmth,WHN,-0.05555555555555555,-0.2625151018487626,0.15140399073765148,0.41617618189786515,18.0
qwen2.5,Warmth,XIA,0.2222222222222222,-0.08395756960749928,0.5284020140519436,0.6156987634551992,18.0
qwen3,Ability,BEI,-0.24814814814814815,-0.5348758668585167,0.03857957056222047,0.5765824739879755,18.0
qwen3,Ability,CHD,-0.05925925925925922,-0.16402829449246215,0.04550977597394372,0.21068067574280552,18.0
qwen3,Ability,JNN,-0.1111111111111111,-0.5927468877568873,0.37052466553466507,0.9685242463078941,18.0
qwen3,Ability,TYN,-0.5259259259259259,-1.3001631173845511,0.24831126553269933,1.556918170704132,18.0
qwen3,Ability,WHN,-0.2296296296296296,-0.5470524783289039,0.08779321906964474,0.6383074933477649,18.0
qwen3,Ability,XIA,-0.6518518518518519,-1.2464874373323807,-0.057216266371323266,1.1957562336133258,18.0
qwen3,Trust,BEI,-0.15555555555555556,-0.3346298961244093,0.023518785013298182,0.36010165594506655,18.0
qwen3,Trust,CHD,-0.13333333333333336,-0.27806548793734875,0.011398821270682008,0.2910427500435996,18.0
qwen3,Trust,JNN,-0.21111111111111114,-0.6604186915961965,0.23819646937397415,0.9035152844756118,18.0
qwen3,Trust,TYN,-0.04444444444444448,-0.5680152842857182,0.4791263953968292,1.0528517141678326,18.0
qwen3,Trust,WHN,-0.1666666666666667,-0.435819188160414,0.10248585482708059,0.541240405430515,18.0
qwen3,Trust,XIA,-0.4888888888888888,-0.8985689865807835,-0.07920879119699414,0.8238281437639262,18.0
qwen3,Warmth,BEI,-0.14444444444444446,-0.256004286119267,-0.03288460276962192,0.2243363487837424,18.0
qwen3,Warmth,CHD,0.10370370370370371,-0.0012708283635650963,0.20867823577097253,0.21109391054799045,18.0
qwen3,Warmth,JNN,0.1592592592592592,-0.04483420544413297,0.3633527239626514,0.4104127613916806,18.0
qwen3,Warmth,TYN,-0.35185185185185186,-0.892171535256347,0.18846783155264324,1.0865320632514683,18.0
qwen3,Warmth,WHN,0.05185185185185184,-0.10511875151468628,0.20882245521838996,0.31565311941077745,18.0
qwen3,Warmth,XIA,-0.30370370370370375,-0.7373372862873926,0.12992987887998514,0.8719963489226863,18.0
qwen3.5,Ability,BEI,-0.09629629629629628,-0.2285267702409628,0.035934177648370216,0.2659030460903301,18.0
qwen3.5,Ability,CHD,-0.7370370370370369,-1.034101027017785,-0.4399730470562887,0.5973677433288388,18.0
qwen3.5,Ability,JNN,-1.1000000000000003,-1.415385173253656,-0.7846148267463446,0.6342099196813483,18.0
qwen3.5,Ability,TYN,-0.39629629629629626,-0.7718005177579157,-0.020792074834676877,0.7551036710963089,18.0
qwen3.5,Ability,WHN,-0.9740740740740742,-1.2203705725345448,-0.7277775756136035,0.49527909284683486,18.0
qwen3.5,Ability,XIA,-1.014814814814815,-1.3676081911013072,-0.662021438528323,0.709434297530581,18.0
qwen3.5,Trust,BEI,-0.04444444444444448,-0.09897895731628537,0.01009006842739641,0.10966377611066333,18.0
qwen3.5,Trust,CHD,-0.06666666666666668,-0.15022781508768948,0.016894481754356122,0.16803361008336118,18.0
qwen3.5,Trust,JNN,-0.07777777777777779,-0.16892513608344928,0.013369580527893693,0.18328876463610655,18.0
qwen3.5,Trust,TYN,-0.03333333333333331,-0.1477541481364118,0.08108748146974518,0.2300894966542112,18.0
qwen3.5,Trust,WHN,-0.2111111111111111,-0.37986954201041867,-0.04235268021180358,0.3393573318683573,18.0
qwen3.5,Trust,XIA,-0.3555555555555555,-0.6188186095260109,-0.09229250158510022,0.5293972401783906,18.0
qwen3.5,Warmth,BEI,-5.396917480816733e-17,-0.12299868009503373,0.12299868009503362,0.2473387769603369,18.0
qwen3.5,Warmth,CHD,0.02962962962962957,-0.11112685067629169,0.1703861099355508,0.2830480429644384,18.0
