model,speaker_id,dialect,text,construct,guise,rating,model_label,dialect_label
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Ability,CMN,4.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Ability,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Trust,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Warmth,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Warmth,DIA,4.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Ability,CMN,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Ability,CMN,4.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Ability,DIA,4.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Trust,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Warmth,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,病人需要及时治疗,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,病人需要及时治疗,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,病人需要及时治疗,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,病人需要及时治疗,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,病人需要及时治疗,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,病人需要及时治疗,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,这本书印制精良,Ability,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,这本书印制精良,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,这本书印制精良,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,这本书印制精良,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,这本书印制精良,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,这本书印制精良,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,锅里的包子熟了,Ability,CMN,4.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,锅里的包子熟了,Ability,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,锅里的包子熟了,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,锅里的包子熟了,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,锅里的包子熟了,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,锅里的包子熟了,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Warmth,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,面条在锅里煮着,Ability,CMN,4.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,面条在锅里煮着,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,面条在锅里煮着,Trust,CMN,4.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,面条在锅里煮着,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,面条在锅里煮着,Warmth,CMN,3.6666666666666665,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_004,BEI,面条在锅里煮着,Warmth,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Ability,CMN,4.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Ability,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Trust,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Warmth,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Warmth,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Warmth,CMN,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Ability,CMN,4.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Ability,DIA,4.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Trust,DIA,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Warmth,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Warmth,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,病人需要及时治疗,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,病人需要及时治疗,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,病人需要及时治疗,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,病人需要及时治疗,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,病人需要及时治疗,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,病人需要及时治疗,Warmth,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,这本书印制精良,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,这本书印制精良,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,这本书印制精良,Trust,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,这本书印制精良,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,这本书印制精良,Warmth,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,这本书印制精良,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,锅里的包子熟了,Ability,CMN,5.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,锅里的包子熟了,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,锅里的包子熟了,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,锅里的包子熟了,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,锅里的包子熟了,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,锅里的包子熟了,Warmth,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Ability,CMN,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,面条在锅里煮着,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,面条在锅里煮着,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,面条在锅里煮着,Trust,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,面条在锅里煮着,Trust,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,面条在锅里煮着,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,BEI_008,BEI,面条在锅里煮着,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Beijing
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Ability,DIA,4.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Trust,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Trust,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Ability,DIA,4.666666666666667,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Trust,CMN,5.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Trust,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Warmth,CMN,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Ability,CMN,5.666666666666667,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Trust,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Trust,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Ability,CMN,4.666666666666667,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Ability,DIA,4.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Trust,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Trust,DIA,5.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Warmth,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Warmth,DIA,5.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,病人需要及时治疗,Ability,CMN,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,病人需要及时治疗,Ability,DIA,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,病人需要及时治疗,Trust,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,病人需要及时治疗,Trust,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,病人需要及时治疗,Warmth,CMN,5.333333333333333,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,病人需要及时治疗,Warmth,DIA,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,这本书印制精良,Ability,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,这本书印制精良,Ability,DIA,5.666666666666667,Qwen2.5-Omni-7B,Chengdu
qwen2.5,CHD_012,CHD,这本书印制精良,Trust,CMN,6.0,Qwen2.5-Omni-7B,Chengdu
