construct,text,mean,ci_low,ci_high,sd,n
Ability,儿童需要悉心抚养,-0.6277777777777779,-0.8485853460989243,-0.4069702094566315,0.3475261296282781,12.0
Ability,农民在山坡上种了树,-1.1055555555555556,-1.6716787621736349,-0.5394323489374765,0.8910138741376163,12.0
Ability,动物会随季节变化换毛,-0.538888888888889,-1.2310141520370221,0.1532363742592443,1.089326854820442,12.0
Ability,有一只鹰在天上飞,-1.1666666666666667,-1.5418506479083347,-0.7914826854249988,0.5904971368998063,12.0
Ability,病人需要及时治疗,-0.4222222222222222,-0.654460658405112,-0.18998378603933241,0.3655170223159157,12.0
Ability,这本书印制精良,-0.35000000000000003,-0.5487791286707961,-0.15122087132920395,0.3128558579902059,12.0
Ability,锅里的包子熟了,-1.0,-1.3907300510404874,-0.6092699489595126,0.6149648918286459,12.0
Ability,阴天出门要带雨伞,-0.5111111111111111,-0.9325031753056936,-0.08971904691652849,0.6632234313301362,12.0
Ability,面条在锅里煮着,-0.7555555555555555,-1.108256215610921,-0.4028548955001901,0.5551109331909687,12.0
Trust,儿童需要悉心抚养,-0.01666666666666668,-0.05334975266819403,0.02001641933486067,0.05773502691896263,12.0
Trust,农民在山坡上种了树,-0.16666666666666666,-0.37535324599295505,0.042019912659621766,0.32844906435973886,12.0
Trust,动物会随季节变化换毛,-0.3166666666666666,-0.7273921548705082,0.09405882153717504,0.6464354475729096,12.0
Trust,有一只鹰在天上飞,-0.2333333333333334,-0.4489395702700802,-0.017727096396586595,0.3393398225253192,12.0
Trust,病人需要及时治疗,0.0,0.0,0.0,0.0,12.0
Trust,这本书印制精良,-0.1333333333333334,-0.2696946906249424,0.0030280239582756163,0.21461734799546392,12.0
Trust,锅里的包子熟了,-0.09999999999999994,-0.24839038922174184,0.04839038922174198,0.2335496832484568,12.0
Trust,阴天出门要带雨伞,-0.04999999999999997,-0.20444961394522296,0.10444961394522304,0.24308621740219888,12.0
Trust,面条在锅里煮着,-0.16666666666666674,-0.29753468894426965,-0.03579864438906383,0.2059714602177749,12.0
Warmth,儿童需要悉心抚养,-0.18333333333333335,-0.3693974987080557,0.002730832041388992,0.2928439443757985,12.0
Warmth,农民在山坡上种了树,2.7755575615628914e-17,-0.20193374240347797,0.20193374240347803,0.3178208630818641,12.0
Warmth,动物会随季节变化换毛,0.08888888888888885,-0.12430826420160321,0.30208604197938094,0.3355481971231443,12.0
Warmth,有一只鹰在天上飞,-0.18333333333333332,-0.471823089358244,0.1051564226915774,0.45405023528417665,12.0
Warmth,病人需要及时治疗,5.782411586589357e-18,-0.4939746776357145,0.4939746776357145,0.77746025264604,12.0
Warmth,这本书印制精良,-0.12777777777777782,-0.38603727171589114,0.1304817161603355,0.40647122311284867,12.0
Warmth,锅里的包子熟了,0.02222222222222216,-0.1666335147010519,0.21107795914549624,0.2972375621454467,12.0
Warmth,阴天出门要带雨伞,-0.0111111111111111,-0.2746069195079097,0.25238469728568746,0.41471258961663077,12.0
Warmth,面条在锅里煮着,0.04999999999999994,-0.13780923677425777,0.23780923677425764,0.2955904893154334,12.0
