construct,dialect,speaker_id,mean,ci_low,ci_high,sd,n
Ability,BEI,BEI_004,-0.17777777777777778,-0.42751275626793395,0.0719572007123784,0.3248931448269656,9.0
Ability,BEI,BEI_008,-0.014814814814814762,-0.1474030038711388,0.11777337424150928,0.17249082995844472,9.0
Ability,CHD,CHD_012,-0.9629629629629629,-1.2354652845414535,-0.6904606413844724,0.35451235852319596,9.0
Ability,CHD,CHD_033,-0.5111111111111112,-1.064219863322018,0.041997641099795424,0.71956777149743,9.0
Ability,JNN,JNN_013,-1.2666666666666666,-1.819181635826947,-0.7141516975063863,0.7187952884282609,9.0
Ability,JNN,JNN_019,-0.9333333333333333,-1.336833215957809,-0.5298334507088578,0.5249338582674541,9.0
Ability,TYN,TYN_001,-0.43703703703703706,-1.2018997713807047,0.3278256973066305,0.995049474543916,9.0
Ability,TYN,TYN_036,-0.35555555555555557,-0.714267309920648,0.003156198809536881,0.4666666666666667,9.0
Ability,WHN,WHN_003,-0.837037037037037,-1.2110792510687554,-0.4629948230053186,0.4866108542324041,9.0
Ability,WHN,WHN_010,-1.1111111111111112,-1.4894193670272895,-0.7328028551949328,0.49216076867444664,9.0
Ability,XIA,XIA_020,-1.2148148148148146,-1.8045600503326713,-0.6250695792969578,0.767230066739203,9.0
Ability,XIA,XIA_027,-0.8148148148148149,-1.295379411270385,-0.33425021835924484,0.6251913287393421,9.0
Trust,BEI,BEI_004,-0.04444444444444448,-0.14693351712018526,0.0580446282312963,0.13333333333333344,9.0
Trust,BEI,BEI_008,-0.04444444444444448,-0.11223459404485332,0.02334570515596436,0.08819171036881977,9.0
Trust,CHD,CHD_012,-0.08888888888888886,-0.24474306164814047,0.06696528387036273,0.20275875100994054,9.0
Trust,CHD,CHD_033,-0.04444444444444448,-0.14693351712018526,0.0580446282312963,0.13333333333333344,9.0
Trust,JNN,JNN_013,-0.15555555555555559,-0.34032035890912476,0.029209247798013593,0.2403700850309326,9.0
Trust,JNN,JNN_019,0.0,0.0,0.0,0.0,9.0
Trust,TYN,TYN_001,-0.08888888888888886,-0.3078056440878012,0.1300278663100235,0.28480012484391776,9.0
Trust,TYN,TYN_036,0.02222222222222224,-0.09795686819977362,0.1424013126442181,0.15634719199411445,9.0
Trust,WHN,WHN_003,-0.2222222222222222,-0.5243043087993564,0.07985986435491194,0.39299420408505314,9.0
Trust,WHN,WHN_010,-0.19999999999999998,-0.43060041352041645,0.03060041352041651,0.2999999999999999,9.0
Trust,XIA,XIA_020,-0.3777777777777777,-0.6798598643549119,-0.07569569120064357,0.39299420408505314,9.0
Trust,XIA,XIA_027,-0.3333333333333333,-0.8432100320986802,0.1765433654320135,0.66332495807108,9.0
Warmth,BEI,BEI_004,-0.11111111111111116,-0.2829905112015155,0.060768288979293206,0.22360679774997896,9.0
Warmth,BEI,BEI_008,0.11111111111111108,-0.06454630953395851,0.28676853175618067,0.22852182001336804,9.0
Warmth,CHD,CHD_012,0.08888888888888885,-0.15687127387781397,0.33464905165559167,0.31972210155418135,9.0
Warmth,CHD,CHD_033,-0.02962962962962972,-0.218107687568845,0.15884842830958554,0.24520084989682125,9.0
Warmth,JNN,JNN_013,-0.11851851851851847,-0.32945963245363896,0.09242259541660203,0.27442420078285484,9.0
Warmth,JNN,JNN_019,-0.03703703703703709,-0.36124845678246487,0.2871743827083907,0.42178339769116224,9.0
Warmth,TYN,TYN_001,-0.2,-0.8052498239367134,0.4052498239367133,0.7874007874011811,9.0
Warmth,TYN,TYN_036,0.051851851851851816,-0.13604478138700613,0.23974848509070976,0.2444444444444444,9.0
Warmth,WHN,WHN_003,-0.20740740740740746,-0.45641109595721907,0.04159628114240413,0.32394177193584994,9.0
Warmth,WHN,WHN_010,0.30370370370370375,0.08017072604895945,0.527236681358448,0.29080560729560895,9.0
Warmth,XIA,XIA_020,-0.05185185185185185,-0.6217833572994654,0.5180796535957618,0.7414533609201276,9.0
Warmth,XIA,XIA_027,-0.2592592592592592,-0.5056123303973514,-0.012906188121166923,0.3204934467079102,9.0
