model,construct,guise,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,CMN,5.237654320987654,5.144409937579191,5.330898704396118,0.4888176888900491,108.0
qwen2.5,Ability,DIA,4.99074074074074,4.869516101053028,5.111965380428451,0.6354993839049563,108.0
qwen2.5,Trust,CMN,5.731481481481482,5.642633172082762,5.820329790880201,0.4657720248073211,108.0
qwen2.5,Trust,DIA,5.805555555555555,5.717276108728275,5.893835002382835,0.46278986033475333,108.0
qwen2.5,Warmth,CMN,5.802469135802469,5.725675008729511,5.879263262875427,0.4025800412202051,108.0
qwen2.5,Warmth,DIA,5.854938271604937,5.788577433412661,5.921299109797213,0.34788531354061897,108.0
qwen3,Ability,CMN,4.912962962962963,4.714146343456924,5.111779582469002,1.0422620313134403,108.0
qwen3,Ability,DIA,4.608641975308641,4.406204506175392,4.811079444441891,1.0612437145193658,108.0
qwen3,Trust,CMN,5.36851851851852,5.240951532106684,5.496085504930355,0.6687480489129576,108.0
qwen3,Trust,DIA,5.1685185185185185,5.048081919786023,5.288955117251014,0.6313682143438692,108.0
qwen3,Warmth,CMN,5.0623456790123464,4.965242304791158,5.159449053233535,0.5090477864205474,108.0
qwen3,Warmth,DIA,4.981481481481483,4.874476733422076,5.088486229540889,0.5609540407118316,108.0
qwen3.5,Ability,CMN,5.396913580246915,5.260175033339838,5.533652127153992,0.7168283819144655,108.0
qwen3.5,Ability,DIA,4.67716049382716,4.503635267143504,4.850685720510817,0.9096762418392227,108.0
qwen3.5,Trust,CMN,5.9907407407407405,5.979819374109028,6.001662107372453,0.05725339158551493,108.0
qwen3.5,Trust,DIA,5.859259259259259,5.801586629767002,5.916931888751517,0.3023388694321979,108.0
qwen3.5,Warmth,CMN,5.196296296296297,5.114159360340691,5.278433232251903,0.4305888005119749,108.0
qwen3.5,Warmth,DIA,5.158024691358025,5.07734032505173,5.2387090576643205,0.4229739532367523,108.0
