model,construct,dialect,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,BEI,0.16666666666666666,0.09944911758135526,0.23388421575197804,0.32093029567438464,90.0
qwen2.5,Ability,CHD,-0.12962962962962962,-0.21762571239107084,-0.041633546868188404,0.42013743796243513,90.0
qwen2.5,Ability,JNN,-0.2592592592592593,-0.37756296863459604,-0.1409555498839226,0.5648412497310172,90.0
qwen2.5,Ability,TYN,-0.5555555555555556,-0.7555035851873928,-0.35560752592371836,0.9546521874490461,90.0
qwen2.5,Ability,WHN,-0.29629629629629634,-0.42207905569952253,-0.17051353689307017,0.6005499860577126,90.0
qwen2.5,Ability,XIA,-0.4074074074074074,-0.5564398694820507,-0.258374945332764,0.7115557286683127,90.0
qwen2.5,Trust,BEI,0.3333333333333333,0.21173221170972895,0.4549344549569377,0.5805847497871377,90.0
qwen2.5,Trust,CHD,0.1111111111111111,0.014621588121610574,0.20760063410061164,0.4606893819231447,90.0
qwen2.5,Trust,JNN,-0.05555555555555555,-0.16594326108368224,0.054832149972571145,0.5270462766947298,90.0
qwen2.5,Trust,TYN,-0.2777777777777778,-0.4316813692623714,-0.1238741862931842,0.7348129438312667,90.0
qwen2.5,Trust,WHN,0.05555555555555555,-0.029629544501466626,0.14074065561257773,0.40671639654184094,90.0
qwen2.5,Trust,XIA,0.2777777777777778,0.16018344563639608,0.3953721099191595,0.5614543269923005,90.0
qwen2.5,Warmth,BEI,0.2037037037037037,0.07737786437768016,0.3300295430297272,0.6031429220181858,90.0
qwen2.5,Warmth,CHD,0.01851851851851851,-0.04959830196250974,0.08663533899954676,0.3252238683923164,90.0
qwen2.5,Warmth,JNN,0.1111111111111111,0.01750252404024656,0.20471969818197566,0.4469343487693273,90.0
qwen2.5,Warmth,TYN,-0.1851851851851852,-0.2794415902768924,-0.090928780093478,0.4500273569465276,90.0
qwen2.5,Warmth,WHN,-0.05555555555555555,-0.14074065561257773,0.029629544501466626,0.40671639654184094,90.0
qwen2.5,Warmth,XIA,0.22222222222222218,0.09619780503732078,0.3482466394071236,0.6017037815230398,90.0
qwen3,Ability,BEI,-0.24814814814814815,-0.3757107197988402,-0.12058557649745608,0.6090477024814275,90.0
qwen3,Ability,CHD,-0.05925925925925927,-0.12341510632678335,0.004896587808264803,0.3063121944908938,90.0
qwen3,Ability,JNN,-0.1111111111111111,-0.315394561415669,0.09317233919344678,0.9753516603888164,90.0
qwen3,Ability,TYN,-0.5259259259259259,-0.847478197445837,-0.20437365440601485,1.5352518349438866,90.0
qwen3,Ability,WHN,-0.22962962962962966,-0.36473297919842973,-0.09452628006082958,0.6450511587187527,90.0
qwen3,Ability,XIA,-0.6518518518518518,-0.9016989206245476,-0.40200478307915605,1.1928952296792616,90.0
qwen3,Trust,BEI,-0.15555555555555556,-0.23189104819373413,-0.079220062917377,0.3644639317587663,90.0
qwen3,Trust,CHD,-0.13333333333333333,-0.20493013515046143,-0.061736531516205215,0.34183904485045247,90.0
qwen3,Trust,JNN,-0.2111111111111111,-0.40842604478208033,-0.013796177440141888,0.9420804665702041,90.0
qwen3,Trust,TYN,-0.044444444444444446,-0.26625927019931,0.17737038131042113,1.0590552405313327,90.0
qwen3,Trust,WHN,-0.16666666666666666,-0.28518877912300405,-0.04814455421032926,0.5658840155907601,90.0
qwen3,Trust,XIA,-0.4888888888888889,-0.6752851882849482,-0.30249258949282953,0.8899494297518289,90.0
qwen3,Warmth,BEI,-0.14444444444444443,-0.19682553808921296,-0.0920633507996759,0.2500936154311036,90.0
