construct,text,mean,ci_low,ci_high,sd,n
Ability,儿童需要悉心抚养,-0.6277777777777778,-0.7516942908965067,-0.5038612646590488,0.4796878562382764,60.0
Ability,农民在山坡上种了树,-1.1055555555555554,-1.3436248834672948,-0.867486227643816,0.9215798820343768,60.0
Ability,动物会随季节变化换毛,-0.5388888888888889,-0.8260567261842888,-0.25172105159348895,1.1116429988699599,60.0
Ability,有一只鹰在天上飞,-1.1666666666666667,-1.3552556926669757,-0.9780776406663578,0.7300388246518527,60.0
Ability,病人需要及时治疗,-0.4222222222222223,-0.5330489614224747,-0.31139548302196984,0.429016598376287,60.0
Ability,这本书印制精良,-0.3499999999999999,-0.4430197508778402,-0.25698024912215967,0.3600847357902755,60.0
Ability,锅里的包子熟了,-1.0,-1.1758291000793624,-0.8241708999206376,0.6806444271116837,60.0
Ability,阴天出门要带雨伞,-0.5111111111111111,-0.7055836784566134,-0.31663854376560874,0.7528143471704776,60.0
Ability,面条在锅里煮着,-0.7555555555555556,-0.9179072887739939,-0.5932038223371174,0.6284727749682828,60.0
Trust,儿童需要悉心抚养,-0.016666666666666666,-0.050016589634804445,0.016683256301471116,0.12909944487358058,60.0
Trust,农民在山坡上种了树,-0.16666666666666666,-0.2637520459173212,-0.0695812874160121,0.3758230140014145,60.0
Trust,动物会随季节变化换毛,-0.31666666666666665,-0.49136640466996245,-0.14196692866337085,0.6762726024084973,60.0
Trust,有一只鹰在天上飞,-0.23333333333333334,-0.3624240351208067,-0.10424263154586,0.49971743428090815,60.0
Trust,病人需要及时治疗,0.0,0.0,0.0,0.0,60.0
Trust,这本书印制精良,-0.13333333333333333,-0.2218888241797542,-0.04477784248691247,0.3428033318008816,60.0
Trust,锅里的包子熟了,-0.1,-0.17815222274529202,-0.021847777254708003,0.30253169045376643,60.0
Trust,阴天出门要带雨伞,-0.05,-0.13802169761148722,0.038021697611487215,0.3407369878883921,60.0
Trust,面条在锅里煮着,-0.16666666666666666,-0.2637520459173212,-0.0695812874160121,0.3758230140014145,60.0
Warmth,儿童需要悉心抚养,-0.1833333333333333,-0.2816088047333462,-0.08505786193332036,0.38042992826557515,60.0
Warmth,农民在山坡上种了树,-9.251858538542971e-19,-0.09244377165019846,0.09244377165019846,0.35785508750538114,60.0
Warmth,动物会随季节变化换毛,0.08888888888888886,-0.01369340113771364,0.19147117891549137,0.3971018676399214,60.0
Warmth,有一只鹰在天上飞,-0.18333333333333338,-0.3075874482576719,-0.05907921840899483,0.48099473199130766,60.0
Warmth,病人需要及时治疗,4.625929269271485e-18,-0.208526497725612,0.208526497725612,0.8072179094245052,60.0
Warmth,这本书印制精良,-0.12777777777777774,-0.2432962341926101,-0.0122593213629454,0.4471785020329992,60.0
Warmth,锅里的包子熟了,0.02222222222222222,-0.07533664206792157,0.11978108651236599,0.37765590146602435,60.0
Warmth,阴天出门要带雨伞,-0.011111111111111108,-0.12865170969593068,0.10642948747370846,0.4550063291572244,60.0
Warmth,面条在锅里煮着,0.05,-0.039438066877520994,0.139438066877521,0.34621983371552206,60.0
