model,construct,guise,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,CMN,5.237654320987653,5.196486589926971,5.278822052048335,0.48700051647048487,540.0
qwen2.5,Ability,DIA,4.9907407407407405,4.937219625772021,5.04426185570946,0.6331369244863859,540.0
qwen2.5,Trust,CMN,5.731481481481482,5.692254632926969,5.770708330035995,0.4640405242979874,540.0
qwen2.5,Trust,DIA,5.805555555555555,5.766579861874885,5.844531249236225,0.46106944597707344,540.0
qwen2.5,Warmth,CMN,5.802469135802468,5.768564252153547,5.836374019451389,0.40108345596112094,540.0
qwen2.5,Warmth,DIA,5.854938271604938,5.825639722568545,5.884236820641331,0.34659205511052216,540.0
qwen3,Ability,CMN,4.912962962962963,4.8242864483317565,5.0016394775941695,1.0490135674600112,540.0
qwen3,Ability,DIA,4.608641975308642,4.518128509638845,4.69915544097844,1.070744085063861,540.0
qwen3,Trust,CMN,5.368518518518519,5.310071725509107,5.426965311527931,0.6914060514938585,540.0
qwen3,Trust,DIA,5.1685185185185185,5.1130989466409655,5.2239380903960715,0.6555950360042567,540.0
qwen3,Warmth,CMN,5.062345679012346,5.019023009614581,5.10566834841011,0.5124927176698794,540.0
qwen3,Warmth,DIA,4.981481481481482,4.933692869677578,5.029270093285386,0.565323325582454,540.0
qwen3.5,Ability,CMN,5.396913580246913,5.333948862430694,5.459878298063132,0.7448515938543656,540.0
qwen3.5,Ability,DIA,4.67716049382716,4.597735210203053,4.756585777451267,0.9395745927493453,540.0
qwen3.5,Trust,CMN,5.9907407407407405,5.982636764844743,5.998844716636738,0.09586732970533088,540.0
qwen3.5,Trust,DIA,5.859259259259259,5.827245750366048,5.89127276815247,0.3787091239506354,540.0
qwen3.5,Warmth,CMN,5.196296296296296,5.157710260134915,5.234882332457677,0.45645992759334597,540.0
qwen3.5,Warmth,DIA,5.158024691358024,5.11978563994007,5.196263742775979,0.4523552139037136,540.0
