model,construct,dialect,mean,ci_low,ci_high,sd,n,centered_mean,centered_low,centered_high
qwen2.5,Ability,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Ability,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Ability,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Ability,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Ability,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Ability,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Trust,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Trust,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Trust,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Trust,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Trust,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Trust,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Warmth,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Warmth,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Warmth,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Warmth,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Warmth,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen2.5,Warmth,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Ability,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Ability,CHD,0.4555555555555555,0.29582751793493267,0.6152835931761783,0.4720774754816659,36.0,-0.04444444444444451,-0.20417248206506733,0.11528359317617831
qwen3,Ability,JNN,0.47777777777777775,0.3154318132612606,0.6401237422942949,0.4798147790785755,36.0,-0.022222222222222254,-0.18456818673873943,0.14012374229429492
qwen3,Ability,TYN,0.47777777777777763,0.32464795519273937,0.6309076003628159,0.45257639888243933,36.0,-0.022222222222222365,-0.17535204480726063,0.1309076003628159
qwen3,Ability,WHN,0.4166666666666667,0.26778476182009425,0.5655485715132391,0.4400216444892769,36.0,-0.08333333333333331,-0.23221523817990575,0.06554857151323912
qwen3,Ability,XIA,0.4444444444444444,0.28994419958620193,0.5989446893026869,0.45662669272386663,36.0,-0.05555555555555558,-0.21005580041379807,0.09894468930268685
qwen3,Trust,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Trust,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Trust,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Trust,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Trust,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Trust,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0,-0.17157543531188713,0.17157543531188713
qwen3,Warmth,BEI,0.5074074074074074,0.337725276231878,0.6770895385829369,0.5014968775234645,36.0,0.007407407407407418,-0.16227472376812202,0.17708953858293686
qwen3,Warmth,CHD,0.512962962962963,0.3495175705513396,0.6764083553745863,0.4830641468973212,36.0,0.012962962962962954,-0.15048242944866042,0.17640835537458632
qwen3,Warmth,JNN,0.5185185185185186,0.34919373866524905,0.6878432983717881,0.5004407228709348,36.0,0.0185185185185186,-0.15080626133475095,0.18784329837178815
qwen3,Warmth,TYN,0.44999999999999996,0.2858839685352601,0.6141160314647398,0.48504622591031593,36.0,-0.050000000000000044,-0.2141160314647399,0.11411603146473981
qwen3,Warmth,WHN,0.49259259259259264,0.32707389208437043,0.6581112931008148,0.48919182533573535,36.0,-0.007407407407407363,-0.17292610791562957,0.15811129310081484
qwen3,Warmth,XIA,0.5277777777777778,0.36076419521158776,0.6947913603439678,0.4936099610530501,36.0,0.02777777777777779,-0.13923580478841224,0.19479136034396782
qwen3.5,Ability,BEI,0.3370370370370371,0.21001404232785317,0.464060031746221,0.3754174631059912,36.0,-0.16296296296296292,-0.28998595767214685,-0.03593996825377899
qwen3.5,Ability,CHD,0.018518518518518517,-0.015417907716587367,0.0524549447536244,0.10029937550469291,36.0,-0.4814814814814815,-0.5154179077165874,-0.4475450552463756
qwen3.5,Ability,JNN,0.049999999999999996,0.0010609756165099044,0.09893902438349009,0.14463967270647052,36.0,-0.45,-0.4989390243834901,-0.4010609756165099
qwen3.5,Ability,TYN,0.040740740740740744,0.004860900416799485,0.076620581064682,0.10604315117826603,36.0,-0.45925925925925926,-0.4951390995832005,-0.423379418935318
qwen3.5,Ability,WHN,0.003703703703703704,-0.003815214549075344,0.011222621956482753,0.022222222222222223,36.0,-0.4962962962962963,-0.5038152145490753,-0.48877737804351723
qwen3.5,Ability,XIA,0.003703703703703704,-0.003815214549075344,0.011222621956482753,0.022222222222222223,36.0,-0.4962962962962963,-0.5038152145490753,-0.48877737804351723
qwen3.5,Trust,BEI,0.3277777777777778,0.18115887184858634,0.4743966837069692,0.4333333333333334,36.0,-0.17222222222222222,-0.31884112815141363,-0.02560331629303081
qwen3.5,Trust,CHD,0.027777777777777776,-0.008941958616341096,0.06449751417189664,0.1085254706406647,36.0,-0.4722222222222222,-0.5089419586163411,-0.43550248582810336
qwen3.5,Trust,JNN,0.08888888888888889,0.008911184584998802,0.16886659319277897,0.23637473611411156,36.0,-0.4111111111111111,-0.4910888154150012,-0.33113340680722103
