model,construct,order_label,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,CMNxDIA,1.0,1.0,1.0,0.0,108.0
qwen2.5,Ability,DIAxCMN,0.0,0.0,0.0,0.0,108.0
qwen2.5,Trust,CMNxDIA,1.0,1.0,1.0,0.0,108.0
qwen2.5,Trust,DIAxCMN,0.0,0.0,0.0,0.0,108.0
qwen2.5,Warmth,CMNxDIA,1.0,1.0,1.0,0.0,108.0
qwen2.5,Warmth,DIAxCMN,0.0,0.0,0.0,0.0,108.0
qwen3,Ability,CMNxDIA,0.027777777777777776,0.006905142801146021,0.04865041275440953,0.10942120927142779,108.0
qwen3,Ability,DIAxCMN,0.8962962962962964,0.8583107392436135,0.9342818533489793,0.19913276844091626,108.0
qwen3,Trust,CMNxDIA,0.0,0.0,0.0,0.0,108.0
qwen3,Trust,DIAxCMN,1.0,1.0,1.0,0.0,108.0
qwen3,Warmth,CMNxDIA,0.03333333333333333,0.008108188520911448,0.05855847814575522,0.13223849564332762,108.0
qwen3,Warmth,DIAxCMN,0.9697530864197531,0.94508017616846,0.9944259966710463,0.12934350066316203,108.0
qwen3.5,Ability,CMNxDIA,0.04876543209876543,0.02135197286158651,0.07617889133594435,0.1437103587258326,108.0
qwen3.5,Ability,DIAxCMN,0.10246913580246914,0.05334160537177215,0.15159666623316612,0.25754265306052887,108.0
qwen3.5,Trust,CMNxDIA,0.027777777777777776,0.002515212465904637,0.053040343089650915,0.13243466619419872,108.0
qwen3.5,Trust,DIAxCMN,0.13148148148148148,0.07359631263981534,0.18936665032314762,0.3034530705216206,108.0
qwen3.5,Warmth,CMNxDIA,0.11049382716049383,0.06975037049421282,0.15123728382677484,0.21359058419378876,108.0
qwen3.5,Warmth,DIAxCMN,0.3382716049382716,0.276294716886314,0.40024849299022913,0.3249032067641444,108.0
