model,speaker_id,dialect,text,construct,order_label,choice_dia,choice_a,confidence
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Ability,CMNxDIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Ability,DIAxCMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Trust,CMNxDIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Trust,DIAxCMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Warmth,CMNxDIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,Warmth,DIAxCMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,动物会随季节变化换毛,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,有一只鹰在天上飞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,病人需要及时治疗,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,病人需要及时治疗,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,病人需要及时治疗,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,病人需要及时治疗,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,病人需要及时治疗,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,病人需要及时治疗,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,这本书印制精良,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,这本书印制精良,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,这本书印制精良,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,这本书印制精良,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,这本书印制精良,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,这本书印制精良,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,锅里的包子熟了,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,锅里的包子熟了,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,锅里的包子熟了,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,锅里的包子熟了,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,锅里的包子熟了,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,锅里的包子熟了,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Ability,CMNxDIA,1.0,0.0,3.0
