construct,dialect,speaker_id,mean,ci_low,ci_high,sd,n,centered_mean,centered_low,centered_high
Ability,BEI,BEI_004,0.374074074074074,0.15324402001165077,0.5949041281364973,0.4440684684232658,18.0,-0.125925925925926,-0.3467559799883492,0.09490412813649729
Ability,BEI,BEI_008,0.30000000000000004,0.15075934877861577,0.44924065122138435,0.30010891269191625,18.0,-0.19999999999999996,-0.34924065122138426,-0.050759348778615654
Ability,CHD,CHD_012,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Ability,CHD,CHD_033,0.037037037037037035,-0.03326460787448915,0.10733868194856322,0.14136999565590352,18.0,-0.46296296296296297,-0.5332646078744891,-0.3926613180514368
Ability,JNN,JNN_013,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Ability,JNN,JNN_019,0.09999999999999999,0.003344528022440882,0.19665547197755912,0.19436506316151,18.0,-0.4,-0.4966554719775591,-0.3033445280224409
Ability,TYN,TYN_001,0.07407407407407407,0.004079648308729089,0.14406849983941905,0.14075220684860454,18.0,-0.42592592592592593,-0.4959203516912709,-0.35593150016058095
Ability,TYN,TYN_036,0.007407407407407408,-0.008220856132098633,0.023035670946913448,0.03142696805273544,18.0,-0.4925925925925926,-0.5082208561320987,-0.47696432905308656
Ability,WHN,WHN_003,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Ability,WHN,WHN_010,0.007407407407407408,-0.008220856132098633,0.023035670946913448,0.03142696805273544,18.0,-0.4925925925925926,-0.5082208561320987,-0.47696432905308656
Ability,XIA,XIA_020,0.007407407407407408,-0.008220856132098633,0.023035670946913448,0.03142696805273544,18.0,-0.4925925925925926,-0.5082208561320987,-0.47696432905308656
Ability,XIA,XIA_027,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Trust,BEI,BEI_004,0.35555555555555557,0.11784512501198327,0.5932659860991278,0.4780133178334509,18.0,-0.14444444444444443,-0.3821548749880167,0.09326598609912784
Trust,BEI,BEI_008,0.30000000000000004,0.10329083281788545,0.49670916718211466,0.3955636336106924,18.0,-0.19999999999999996,-0.3967091671821146,-0.0032908328178853363
Trust,CHD,CHD_012,0.011111111111111112,-0.012331284198147956,0.03455350642037018,0.047140452079103175,18.0,-0.4888888888888889,-0.512331284198148,-0.4654464935796298
Trust,CHD,CHD_033,0.044444444444444446,-0.02836696676732265,0.11725585565621155,0.14641689962819193,18.0,-0.45555555555555555,-0.5283669667673226,-0.38274414434378845
Trust,JNN,JNN_013,0.011111111111111112,-0.012331284198147956,0.03455350642037018,0.047140452079103175,18.0,-0.4888888888888889,-0.512331284198148,-0.4654464935796298
Trust,JNN,JNN_019,0.16666666666666666,0.009410298265890238,0.3239230350674431,0.31622776601683794,18.0,-0.33333333333333337,-0.49058970173410976,-0.17607696493255692
Trust,TYN,TYN_001,0.06666666666666668,-0.016894481754356122,0.15022781508768948,0.16803361008336118,18.0,-0.43333333333333335,-0.5168944817543561,-0.34977218491231055
Trust,TYN,TYN_036,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Trust,WHN,WHN_003,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Trust,WHN,WHN_010,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Trust,XIA,XIA_020,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Trust,XIA,XIA_027,0.0,0.0,0.0,0.0,18.0,-0.5,-0.5,-0.5
Warmth,BEI,BEI_004,0.44814814814814813,0.25125647102959225,0.645039825266704,0.3959306439268,18.0,-0.05185185185185187,-0.24874352897040775,0.145039825266704
Warmth,BEI,BEI_008,0.41481481481481475,0.2380824717214186,0.5915471579082109,0.3553921192998252,18.0,-0.08518518518518525,-0.2619175282785814,0.09154715790821089
Warmth,CHD,CHD_012,0.2888888888888889,0.12528535027336637,0.45249242750441143,0.32899132833198974,18.0,-0.21111111111111108,-0.3747146497266336,-0.04750757249558857
Warmth,CHD,CHD_033,0.20740740740740743,0.08658899646125237,0.32822581835356246,0.24295446076839616,18.0,-0.29259259259259257,-0.4134110035387476,-0.17177418164643754
Warmth,JNN,JNN_013,0.19999999999999998,0.037586321092995895,0.36241367890700404,0.3265986323710904,18.0,-0.30000000000000004,-0.46241367890700413,-0.13758632109299596
Warmth,JNN,JNN_019,0.36666666666666664,0.23839332295963334,0.49494001037369995,0.2579456293725837,18.0,-0.13333333333333336,-0.26160667704036666,-0.005059989626300054
Warmth,TYN,TYN_001,0.2185185185185185,0.08796926942297459,0.34906776761406244,0.2625222610473035,18.0,-0.2814814814814815,-0.41203073057702544,-0.15093223238593756
Warmth,TYN,TYN_036,0.05925925925925926,0.00029430738354931096,0.11822421113496921,0.11857297223998499,18.0,-0.44074074074074077,-0.4997056926164507,-0.3817757888650308
Warmth,WHN,WHN_003,0.12222222222222223,0.015399195971281282,0.22904524847316318,0.2148110584901839,18.0,-0.37777777777777777,-0.48460080402871875,-0.2709547515268368
Warmth,WHN,WHN_010,0.18148148148148147,0.06562567127089045,0.29733729169207246,0.23297513744941012,18.0,-0.31851851851851853,-0.4343743287291095,-0.20266270830792754
Warmth,XIA,XIA_020,0.15185185185185185,-0.0056327552298476025,0.30933645893355133,0.31668673253705526,18.0,-0.34814814814814815,-0.5056327552298476,-0.19066354106644867
Warmth,XIA,XIA_027,0.03333333333333333,-0.0012509186251011342,0.0679175852917678,0.0695456778469341,18.0,-0.4666666666666667,-0.5012509186251012,-0.43208241470823217
